Sites internet ,Vitesse de chargement,Compatibilité multiplateforme,Optimisation des images,Navigation intuitive,Design responsive,Appels à l action (CTA),Certificat SSL,Protection contre les attaques,Balises Meta,Open graph personnalisé,Intégration des réseaux sociaux
https://www.tourdechauffe.fr,5,80,33,100,100,66,100,66,33,33,100
http://www.maisonhabitatdurable-lillemetropole.fr,7,66,66,100,100,100,100,66,70,33,100
https://www.valdedeule-tourisme.fr,27,82,33,66,100,33,100,66,65,33,100
http://www.stadium-lillemetropole.fr,27,85,66,100,100,66,100,66,33,33,100
https://lacart.fr,28,78,33,100,66,33,100,66,33,33,33
https://geomel.lillemetropole.fr/portal/,33,33,33,66,33,66,100,33,33,33,33
https://www.archives-lillemetropole.fr,36,99,33,100,33,66,100,66,33,33,100
https://opendata.lillemetropole.fr,38,80,66,66,66,66,100,66,33,33,33
https://sig-cartotheque.lillemetropole.fr/,38,78,33,33,100,33,100,66,33,33,100
https://logementsocial.lillemetropole.fr,39,74,33,100,100,33,100,66,65,33,100
https://www.musee-bataille-fromelles.fr,40,69,66,100,100,66,100,66,65,33,100
https://enm.lillemetropole.fr/,43,95,33,66,100,66,100,66,80,33,100
https://gnau.lillemetropole.fr/gnau/#/,45,94,100,33,66,33,100,66,33,33,33
https://participation.lillemetropole.fr,45,96,33,100,100,100,100,66,33,33,100
https://asuivre.lillemetropole.fr,47,96,33,66,33,66,100,66,33,33,100
http://www.conseildeveloppement-lillemetropole.fr,55,80,66,100,100,66,100,66,33,33,100
https://taxedesejour.lillemetropole.fr,63,67,100,33,100,33,100,66,33,33,33
https://transitiondurable.lillemetropole.fr/,67,91,66,100,100,66,100,66,33,33,100
https://plu.lillemetropole.fr,69,85,66,33,100,66,100,66,65,33,100
https://www.euoffice.lillemetropole.fr,70,81,66,100,100,33,100,66,33,33,100
https://ameliohabitat.fr,75,88,33,100,100,66,100,66,33,33,100
https://www.lillemetropole.fr/,84,95,66,66,100,66,100,66,65,33,100
https://encombrants-bailleur.lillemetropole.fr/,87,96,100,100,100,100,100,33,33,33,33
https://mesdemarches.lillemetropole.fr,87,92,100,100,100,100,100,66,33,33,100
